nct,titulo,sponsor,estado_ct,fase,tipo_estudio,fecha_inicio,fecha_fin
NCT01257412,Evaluation of Efficacy and Safety of Dapagliflozin as Monotherapy in Subjects With Type 2 Diabetes Who Have Inadequate Glycaemic Control With Diet and Exercise Alone,AstraZeneca,SUSPENDED,PHASE3,INTERVENTIONAL,2012-01,2013-06
NCT00940641,"Assess the Absorption, Distribution, Metabolism and Excretion of AZD7325 After Intravenous and Oral Administration",AstraZeneca,SUSPENDED,PHASE1,INTERVENTIONAL,2009-08,2009-10
NCT07146113,Treatment Approaches and Biomarkers PRevalence In de Novo MEtastatic Hormone-sensitive Prostate Cancer in Russian Federation,AstraZeneca,SUSPENDED,OBSERVATIONAL,OBSERVATIONAL,2025-06-30,2027-06-30
NCT01340183,"Clinical Study Assessing the Safety, Tolerability, and Pharmacokinetics of Intravenous AZD5099 in Healthy Subjects",AstraZeneca,SUSPENDED,PHASE1,INTERVENTIONAL,2011-05,2011-12
NCT07433062,A Study to Evaluate the Effect of AZD6793 on the Pharmacokinetics and Pharmacodynamics of Metformin in Participants With Type 2 Diabetes Mellitus,AstraZeneca,SUSPENDED,PHASE1,INTERVENTIONAL,2026-01-14,2026-06-18
NCT00065572,Exploratory Study to Assess the Biological Activity of ZD6126 in Subjects With Newly Diagnosed Metastatic Renal Cell Carcinoma (Stage IV),AstraZeneca,SUSPENDED,PHASE2,INTERVENTIONAL,2003-08,2004-02
NCT00901290,Determine the Effects of C-administration of AZD7325 and an Oral Contraceptive in Healthy Female Subjects,AstraZeneca,SUSPENDED,PHASE1,INTERVENTIONAL,2009-05,2009-09
NCT07247292,Epidemiological Study of Treatment Approaches on AQP4-IgG Positive NMOSD in Russia,AstraZeneca,SUSPENDED,OBSERVATIONAL,OBSERVATIONAL,2025-12-23,2029-12-31
NCT01457846,Efficacy and Safety of AZD4547 Versus Paclitaxel in Patients With Advanced Gastric or Gastro-oesophageal Cancer,AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2011-11,2015-02
NCT00263965,ARAMIS: Actions of tesaglitazaR on fAt Metabolism and Insulin Sensitivity,AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2005-08,2006-07
NCT01068756,Effect of Rifampin on the Pharmacokinetics of Dapagliflozin in Healthy Subjects,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2010-03,2010-04
NCT00967356,AZD5985 Single Ascending Dose Study,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2009-08,2009-11
NCT00139074,Seroquel in Acute Mania: Study to Investigate if Valproate Add-On Therapy is Superior to Quetiapine Monotherapy in Acutely Manic Patients,AstraZeneca,TERMINATED,PHASE4,INTERVENTIONAL,2005-07,2006-06
NCT02087241,Ph II Trial of Carboplatin and Pemetrexed With or Without AZD1775 for Untreated Lung Cancer,AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2014-03,2015-06
NCT05397171,A First-in-human Study to Evaluate the Safety and Tolerability of AZD8853 in Participants With Selected Advanced/Metastatic Solid Tumours,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2022-06-07,2023-06-06
NCT00214565,GALLANT 6 Tesaglitazar vs. Pioglitazone,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2004-08,2006-10
NCT00457899,Rapid Versus Conventional Titration of Quetiapine in Schizophrenia/Schizoaffective Disorder,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2007-07,2007-09
NCT00860353,"Study to Investigate the Safety, Tolerability and Pharmacokinetics of Single Doses ofAZD2551",AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2009-02,2009-05
NCT01130909,"A Blinded, Four-Way Crossover in Healthy Subjects to Assess EEG After Administration of Ketamine, Placebo and AZD6765",AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2010-05,2011-01
NCT01843062,Comparing Complete Remission After Treatment With Selumetinib/Placebo in Patient With Differentiated Thyroid Cancer,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2013-08-27,2019-03-06
NCT00579150,Exenatide Pregnancy Registry - Type 2 Diabetes in Pregnancy,AstraZeneca,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2009-01,2016-04
NCT00471367,"Phase I, Open-label, Dose-escalation, Safety and PK Study of AZD4877",AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2007-04,2008-12
